counts_for_sons_first_occupation,fathers_occupation_Clerk,fathers_occupation_Craftsman-Construction,fathers_occupation_Craftsman-Manufacturing,fathers_occupation_Craftsmen-Other,fathers_occupation_Farm_Laborer,fathers_occupation_Farmer/Farm_Manager,fathers_occupation_Laborer-Manufacturing,fathers_occupation_Laborer-Nonmanufacturing,fathers_occupation_Manager,fathers_occupation_Operative-Manufacturing,fathers_occupation_Operative-Nonmanufacturing,fathers_occupation_Professional-Salaried,fathers_occupation_Professional_Self-Employed,fathers_occupation_Proprietor,fathers_occupation_Salesman-Nonretail,fathers_occupation_Salesman-Retail,fathers_occupation_Service_Worker,sons_occupation_Clerk,sons_occupation_Craftsman-Construction,sons_occupation_Craftsman-Manufacturing,sons_occupation_Craftsmen-Other,sons_occupation_Farm_Laborer,sons_occupation_Farmer/Farm_Manager,sons_occupation_Laborer-Manufacturing,sons_occupation_Laborer-Nonmanufacturing,sons_occupation_Manager,sons_occupation_Operative-Manufacturing,sons_occupation_Operative-Nonmanufacturing,sons_occupation_Professional-Salaried,sons_occupation_Professional_Self-Employed,sons_occupation_Proprietor,sons_occupation_Salesman-Nonretail,sons_occupation_Salesman-Retail,sons_occupation_Service_Worker,family_structure_intact,family_structure_nonintact,race_black,race_white,counts_for_sons_current_occupation
-0.10433410303014391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.6
-0.31013110584673154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.1
-0.3459218889452685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.3
-0.38171267204380543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.29383835894107985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.5
-0.38171267204380543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
-0.38171267204380543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.5
-0.3123680297903901,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
-0.3302634213396585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.2
-0.2877618664101459,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.8
