 Panda Version: 2.0.3
Namespace(batch_size=128, cat_dims=None, cat_idx=None, config='config/diamonds.yml', data_parallel=False, dataset='Diamonds', direction='minimize', dropna_idx=None, early_stopping_rounds=20, epochs=100, gpu_ids=[0, 1], logging_period=100, miss_cat_idx=None, miss_num_idx=None, model_name='TabNet', n_trials=86, nominal_idx=None, num_classes=1, num_features=9, num_idx=None, num_splits=5, objective='regression', one_hot_encode=False, optimize_hyperparameters=True, ordinal_encode=True, ordinal_idx=[1, 2, 3], scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
 Panda Version: 2.0.3
Loading dataset Diamonds...
Dataset loaded! 

X b4 encoding : [0.23 'Ideal' 'E' 'SI2' 61.5 55.0 3.95 3.98 2.43] 

(53940, 9)
Data Type of X: <class 'numpy.ndarray'>
Nominal Idx: None
Ordinal Idx: [1, 2, 3]
Cat Dims: None 
 

Normonal Idx: None
Cat Idx Part II: [1, 2, 3] 
ENDE 
 

X after Nominal Encoding: [0.23 'Ideal' 'E' 'SI2' 61.5 55.0 3.95 3.98 2.43] 
 

Scaling the data...
X after Scaling: [-1.1981678055010725 'Ideal' 'E' 'SI2' -0.1740915083097858
 -1.0996719906799668 -1.5878374489219242 -1.5361955629431636
 -1.5711291873012518] 
 

Using an existing study with name 'TabNet_Diamonds' instead of creating a new one.
In get_device
In get_device
epoch 0  | loss: 6166337.21105| eval_rmse: 2175.3355|  0:00:22s
epoch 1  | loss: 715236.9592| eval_rmse: 1028.24348|  0:00:44s
epoch 2  | loss: 712090.10886| eval_rmse: 1256.01191|  0:01:06s
epoch 3  | loss: 707570.44877| eval_rmse: 1200.24765|  0:01:28s
epoch 4  | loss: 657592.98261| eval_rmse: 1335.81475|  0:01:51s
epoch 5  | loss: 648427.89786| eval_rmse: 1150.78702|  0:02:13s
epoch 6  | loss: 660031.60108| eval_rmse: 1330.28763|  0:02:35s
epoch 7  | loss: 608483.65695| eval_rmse: 1511.67418|  0:02:57s
epoch 8  | loss: 605982.19237| eval_rmse: 1434.35376|  0:03:19s
epoch 9  | loss: 606977.66251| eval_rmse: 1383.57289|  0:03:41s
epoch 10 | loss: 610335.06143| eval_rmse: 1593.72165|  0:04:03s
epoch 11 | loss: 581374.06714| eval_rmse: 1642.93653|  0:04:25s
epoch 12 | loss: 574632.72422| eval_rmse: 1701.88474|  0:04:47s
epoch 13 | loss: 593952.65361| eval_rmse: 1871.99126|  0:05:09s
epoch 14 | loss: 554533.83128| eval_rmse: 1834.91418|  0:05:31s
epoch 15 | loss: 542055.08902| eval_rmse: 1291.44098|  0:05:53s
epoch 16 | loss: 548924.32752| eval_rmse: 2004.7591|  0:06:15s
epoch 17 | loss: 549141.19343| eval_rmse: 1524.23529|  0:06:37s
epoch 18 | loss: 524829.50283| eval_rmse: 1829.94865|  0:06:59s
epoch 19 | loss: 511956.10421| eval_rmse: 1581.24609|  0:07:22s
