y_true_class, y_pred_class, y_pred_cont
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
0.000000000000000000e+00,0.000000000000000000e+00,5.152655501497006298e+03
