0.16110452,0.16522917,0.16579199,0.17000364,0.17420663,0.16366413
0.1603014,0.16598502,0.16565742,0.1703695,0.17381784,0.16386881
0.16011424,0.16599864,0.16526055,0.17015213,0.17438322,0.1640912
0.16184404,0.16503562,0.16542408,0.16984303,0.1744743,0.16337886
0.16140169,0.16516173,0.1657313,0.16991863,0.17418447,0.16360222
0.16109177,0.165138,0.16598706,0.1698488,0.17434338,0.16359112
0.16036126,0.16632478,0.16556074,0.16991776,0.17410183,0.16373357
0.16110218,0.16533954,0.16574478,0.17008586,0.1738837,0.16384406
0.16114366,0.16526507,0.16565111,0.16992883,0.1742218,0.16378953
0.16323034,0.16535741,0.16607471,0.16941534,0.17431489,0.16160733
0.15996015,0.16583697,0.16533473,0.17005506,0.17454273,0.16427034
0.16073118,0.16542973,0.16536668,0.16991583,0.17449683,0.16405973
0.16217415,0.16521235,0.16559806,0.16980667,0.17370974,0.16349907
0.16234818,0.16520584,0.16569181,0.16963133,0.17387216,0.16325076
0.1603276,0.16635136,0.1655364,0.16974461,0.17412393,0.1639161
0.16101679,0.16501416,0.16586532,0.17006002,0.17442809,0.1636157
0.16058376,0.16540205,0.16527756,0.1699758,0.1747,0.16406083
0.16149507,0.165208,0.16576408,0.1700822,0.17395575,0.16349483
0.16176897,0.1652714,0.16600643,0.16990666,0.17390698,0.16313955
0.16222124,0.16510788,0.16571723,0.16974755,0.17387392,0.16333222
0.16034754,0.16545646,0.16555525,0.17072286,0.1742221,0.16369575
0.16205017,0.16495393,0.16546436,0.16992727,0.17413223,0.16347212
0.16041538,0.16593333,0.16584747,0.17027763,0.17386816,0.16365808
0.1601652,0.16569701,0.16539612,0.17006981,0.17451547,0.16415647
0.16066416,0.16548385,0.1654349,0.17059588,0.17408387,0.1637373
0.16034076,0.16568327,0.16543846,0.17029655,0.17421277,0.16402829
0.16029757,0.16554023,0.16558437,0.17021276,0.17431614,0.16404885
0.16113812,0.1653421,0.16581124,0.16998202,0.17395146,0.16377507
0.1611433,0.1653508,0.16580948,0.17000867,0.17387421,0.16381353
0.16013168,0.16575953,0.16533706,0.17014399,0.1745562,0.16407147
0.16048259,0.16549054,0.16543368,0.1700388,0.1746077,0.16394676
