

----------------------------------------------------------------------------
Training SAINT Vesion 1 with Dataset: config/boston.yml 



----------------------------------------------------------------------------
 Panda Version: 2.0.3
Namespace(batch_size=128, cat_dims=None, cat_idx=None, config='config/boston.yml', data_parallel=False, dataset='Boston', direction='minimize', dropna_idx=None, early_stopping_rounds=20, epochs=100, gpu_ids=[0, 1], logging_period=100, miss_cat_idx=None, miss_num_idx=None, model_name='SAINT', n_trials=30, nominal_idx=[3], num_classes=1, num_features=13, num_splits=5, objective='regression', one_hot_encode=True, optimize_hyperparameters=True, ordinal_encode=False, ordinal_idx=None, scale=True, seed=221, shuffle=True, target_encode=False, use_gpu=True, val_batch_size=256)
Start hyperparameter optimization
 Panda Version: 2.0.3
Loading dataset Boston...
Dataset loaded!
(506, 13)
Scaling the data...
args.num_features: 14
args.cat_idx: []
New Shape: (506, 14)
A new study created in RDB with name: SAINT_Boston
In get_device
Using dim 128 and batch size 128
In get_device
Using dim 128 and batch size 128
Epoch 0 loss 439.39263916015625
Epoch 1 loss 371.0314636230469
Epoch 2 loss 298.7507019042969
Epoch 3 loss 209.47579956054688
Epoch 4 loss 118.81161499023438
Epoch 5 loss 69.02766418457031
Epoch 6 loss 89.02914428710938
Epoch 7 loss 55.21660614013672
Epoch 8 loss 46.84686279296875
Epoch 9 loss 44.61890411376953
Epoch 10 loss 32.539710998535156
Epoch 11 loss 30.970869064331055
Epoch 12 loss 27.469785690307617
Epoch 13 loss 24.864059448242188
Epoch 14 loss 25.19695281982422
Epoch 15 loss 23.408422470092773
Epoch 16 loss 21.4408016204834
Epoch 17 loss 24.893896102905273
Epoch 18 loss 20.557167053222656
Epoch 19 loss 19.757915496826172
Epoch 20 loss 22.23468017578125
Epoch 21 loss 21.385038375854492
Epoch 22 loss 24.224475860595703
Epoch 23 loss 19.042381286621094
Epoch 24 loss 22.944278717041016
Epoch 25 loss 16.27631378173828
Epoch 26 loss 16.6082763671875
Epoch 27 loss 15.631889343261719
Epoch 28 loss 17.136674880981445
Epoch 29 loss 15.85165023803711
Epoch 30 loss 17.27488136291504
Epoch 31 loss 15.924700736999512
Epoch 32 loss 18.44270896911621
Epoch 33 loss 15.115592956542969
Epoch 34 loss 14.702985763549805
Epoch 35 loss 14.745134353637695
Epoch 36 loss 15.279620170593262
Epoch 37 loss 14.253040313720703
Epoch 38 loss 15.13237476348877
Epoch 39 loss 14.777434349060059
Epoch 40 loss 14.705377578735352
Epoch 41 loss 14.085258483886719
Epoch 42 loss 14.348556518554688
Epoch 43 loss 15.903191566467285
Epoch 44 loss 14.005677223205566
Epoch 45 loss 14.40014934539795
Epoch 46 loss 13.69048023223877
Epoch 47 loss 13.315116882324219
Epoch 48 loss 15.028895378112793
Epoch 49 loss 14.739636421203613
Epoch 50 loss 14.044663429260254
Epoch 51 loss 14.66135311126709
Epoch 52 loss 14.89682674407959
Epoch 53 loss 14.089550018310547
Epoch 54 loss 16.90742301940918
Epoch 55 loss 13.259405136108398
Epoch 56 loss 12.746026992797852
Epoch 57 loss 18.478538513183594
Epoch 58 loss 13.542244911193848
Epoch 59 loss 14.806323051452637
Epoch 60 loss 15.450186729431152
Epoch 61 loss 12.913773536682129
Epoch 62 loss 12.242430686950684
Epoch 63 loss 13.192178726196289
Epoch 64 loss 11.828644752502441
Epoch 65 loss 11.749868392944336
Epoch 66 loss 13.662397384643555
Epoch 67 loss 15.546712875366211
Epoch 68 loss 12.683539390563965
Epoch 69 loss 12.594640731811523
Epoch 70 loss 11.022455215454102
Epoch 71 loss 11.12822437286377
Epoch 72 loss 13.092808723449707
Epoch 73 loss 13.334217071533203
Epoch 74 loss 14.14072322845459
Epoch 75 loss 14.01169490814209
Epoch 76 loss 12.661699295043945
Epoch 77 loss 12.027877807617188
Epoch 78 loss 13.120898246765137
Epoch 79 loss 11.105860710144043
Epoch 80 loss 12.13053035736084
Epoch 81 loss 14.492879867553711
Epoch 82 loss 12.065309524536133
Epoch 83 loss 13.047327995300293
Epoch 84 loss 12.937193870544434
Epoch 85 loss 12.638274192810059
Epoch 86 loss 13.141138076782227
Epoch 87 loss 11.598458290100098
Epoch 88 loss 12.556036949157715
Epoch 89 loss 13.347573280334473
Epoch 90 loss 12.151803970336914
Epoch 91 loss 15.883322715759277
Validation loss has not improved for 20 steps!
Early stopping applies.
Saved Losses
{'MSE - mean': 11.022456665817135, 'MSE - std': 0.0, 'R2 - mean': 0.8523810144648326, 'R2 - std': 0.0} 
 

In get_device
Using dim 128 and batch size 128
Epoch 0 loss 525.14013671875
Epoch 1 loss 450.8569641113281
Epoch 2 loss 374.9831237792969
Epoch 3 loss 279.1837158203125
Epoch 4 loss 174.3684844970703
Epoch 5 loss 90.45480346679688
Epoch 6 loss 82.65601348876953
Epoch 7 loss 66.87984466552734
Epoch 8 loss 73.60819244384766
Epoch 9 loss 51.715511322021484
Epoch 10 loss 43.06690979003906
Epoch 11 loss 38.75956726074219
Epoch 12 loss 32.23088073730469
Epoch 13 loss 26.516983032226562
Epoch 14 loss 22.650358200073242
Epoch 15 loss 23.395734786987305
Epoch 16 loss 19.414758682250977
Epoch 17 loss 17.2210750579834
